srl,field_name,name,block,item,length,byte_start,byte_end,remarks
1,file_id,File Identification,,,5,1,5,CFVP5
2,sch,Schdule,1,2,3,6,8,104
3,qtr,Quarter,,,2,9,10,Q1 to Q4
4,month,Month,,,2,11,12,01 to 12
5,visit,Visit,,,2,13,14,V1
6,sec,Sector,1,3,1,15,15,
7,st,State/Ut Code,,,2,16,17,
8,dc,District Code,1,4,2,18,19,
9,nss_reg,NSS-Region,1,4,3,20,22,
10,bstrm,Basic stratum,,,4,23,26,
11,strm,Stratum,1,5,3,27,29,
12,grp,Group,,,1,30,30,
13,sstrm,Sub-Stratum,1,6,2,31,32,
14,sro,Fod Sub-Region,1,12,4,33,36,
15,mfsu,FSU,1,1,5,37,41,
16,sss,Second Stage Stratum No.,1,14,1,42,42,
17,ssu,Sample Household Number,1,15,2,43,44,
18,srl,Person Serial No.,4,1,2,45,46,
19,rel,Relationship To Head,4,4,1,47,47,
20,sex,Sex,4,5,1,48,48,
21,age,Age,4,6,3,49,51,
22,marst,Marital Status,4,7,1,52,52,
23,gedu_lvl,General Educaion Level,4,8,2,53,54,
24,tedu_lvl,Technical Educaion Level,4,9,2,55,56,
25,grade,class/grade successfully completed,4,10,2,57,58,
26,yrsbef1,year(s) of education completed prior to class I ,4,11,1,59,59,
27,yrsaft,year(s) of education completed after the class/grade recorded in column 10,4,12,2,60,61,
28,iflastyr,whether the last completed year of education recorded in column 12 was the last year of education attended,4,13,1,62,62,
29,mnths,No. of months attended in the last year of Education,4,14,2,63,64,
30,curr_att,Status of Current Attendance in Educational Institution,4,15,2,65,66,"Up to June 2025: 0-29 years, From July 2025: 0-59 years"
31,secondary,whether attended secondary education,4,16,2,67,68,
32,voc,Whether received any Vocational/Technical Training,4,17,1,69,69,
33,trg,whether received or receiving any training or course for entrance in higher education or for employment exams by an institute / training center,4,18,1,70,70,From July 2025
34,trg_com,when the training / course mentioned in col 17 or col 18 was completed ,4,19,1,71,71,From July 2025
35,voc_compl,Whether Training completed during last 365 Days,4.1,3,1,72,72,Up to June 2025
36,voc_fld,Field Of Training,4.1,4,2,73,74,
37,voc_dur,Duration Of Training,4.1,5,1,75,75,
38,voc_typ,Type Of Training,4.1,6,1,76,76,
39,voc_fund,Source Of Funding The Training,4.1,7,1,77,77,
40,voc_cert,nature of the certifying body from which vocational / technical training received,4.1,8,1,78,78,
41,pas,Status Code,5.1,3,2,79,80,
42,ind_pas,Industry Code (NIC),5.1,5,5,81,85,
43,ocu_pas,Occupation Code (NCO),5.1,6,3,86,88,
