srl,field_name,name,block,item,length,byte_start,byte_end,remarks
105,ern13,wage earning for activity 1 on 3rd day,6,9/3.5,5,222,226,
106,das23,Status Code for activity 2,6,4/3.5,2,227,228,
107,ind23,Industry Code (NIC) for activity 2,6,5/3.5,2,229,230,
108,hr23,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,231,232,
109,ern23,wage earning for activity 2 on 3 rd day,6,9/3.5,5,233,237,
110,hr3,total hours actually worked on 3rd day,6,7/3.5,2,238,239,
111,ahr3,hours available for aditional worked on 3rd day,6,8/3.5,2,240,241,
112,das12,Status Code for activity 1,6,4/3.6,2,242,243,
113,ind12,Industry Code (NIC) for activity 1,6,5/3.6,2,244,245,
114,hr12,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,246,247,
115,ern12,wage earning for activity 1 on 2nd day,6,9/3.6,5,248,252,
116,das22,Status Code for activity 2,6,4/3.6,2,253,254,
117,ind22,Industry Code (NIC) for activity 2,6,5/3.6,2,255,256,
118,hr22,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,257,258,
119,ern22,wage earning for activity 2 on 2nd day,6,9/3.6,5,259,263,
120,hr2,total hours actually worked on 2nd day,6,7/3.6,2,264,265,
121,ahr2,hours available for aditional worked on 2nd day,6,8/3.6,2,266,267,
122,das11,Status Code for activity 1,6,4/3.7,2,268,269,
123,ind11,Industry Code (NIC) for activity 1,6,5/3.7,2,270,271,
124,hr11,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,272,273,
125,ern11,wage earning for activity 1 on 1st day,6,9/3.7,5,274,278,
126,das21,Status Code for activity 2,6,4/3.7,2,279,280,
127,ind21,Industry Code (NIC) for activity 2,6,5/3.7,2,281,282,
128,hr21,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,283,284,
129,ern21,wage earning for activity 2 on 1st day,6,9/3.7,5,285,289,
130,hr1,total hours actually worked on 1st day,6,7/3.7,2,290,291,
131,ahr1,hours available for aditional worked on 1st day,6,8/3.7,2,292,293,
132,acws,Current Weekly Status (CWS),6,5,2,294,295,
133,aind_cws,Industry Code (CWS),6,6,2,296,297,
134,ocu_cws,Occupation Code (CWS),6,7,3,298,300,
135,ern_reg,Earnings For Regular Salaried/Wage Activity,6,9,8,301,308,
136,ern_self,Earnings For Self Employed,6,10,8,309,316,
137,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,317,319,NSS
138,nsc,Ns count for sector x stratum x substratum,Generated,,3,320,322,NSC
139,mult,Sub-sample wise Multiplier,Generated,,10,323,332,MULT
140,no_qtr,count of contributing samples for State x Sector x Stratum x Sub-Stratum in 4 Quarters,Generated,,1,333,333,No_Qtr
